epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6111660003662109,0.0010000000474974513,1.0468077659606934,0.749502956867218,0.6588186025619507
1,0.7509881258010864,0.0010000000474974513,0.6722410917282104,0.789264440536499,0.6135204434394836
2,0.7855731248855591,0.0010000000474974513,0.6131641268730164,0.8011928200721741,0.5924668312072754
3,0.7924901247024536,0.0010000000474974513,0.5443035364151001,0.7614313960075378,0.6042193174362183
4,0.8162055611610413,0.0010000000474974513,0.48775428533554077,0.7872763276100159,0.5706836581230164
5,0.8369565010070801,0.0010000000474974513,0.44263747334480286,0.7773360013961792,0.6449856758117676
6,0.8260869383811951,0.0010000000474974513,0.4487343430519104,0.8190854787826538,0.54032301902771
7,0.8517786264419556,0.0010000000474974513,0.3876171112060547,0.8131212592124939,0.5291376113891602
8,0.8680830001831055,0.0010000000474974513,0.3536962866783142,0.8111332058906555,0.5073431730270386
9,0.8740118741989136,0.0010000000474974513,0.3721069395542145,0.8270377516746521,0.5142514109611511
10,0.8794466257095337,0.0010000000474974513,0.3177093267440796,0.8230616450309753,0.5150588154792786
11,0.9021739363670349,0.0010000000474974513,0.2850619852542877,0.8051689863204956,0.5888107419013977
12,0.9110671877861023,0.0005000000237487257,0.2489488273859024,0.8250496983528137,0.5065494179725647
13,0.9194663763046265,0.0005000000237487257,0.23078280687332153,0.8230616450309753,0.517035722732544
14,0.9204545617103577,0.0005000000237487257,0.20420104265213013,0.8190854787826538,0.5208169221878052
15,0.9387351870536804,0.0005000000237487257,0.19234789907932281,0.8349900841712952,0.5104510188102722
16,0.9323122501373291,0.0002500000118743628,0.19623461365699768,0.833001971244812,0.5185238718986511
17,0.9451581239700317,0.0002500000118743628,0.17057685554027557,0.8250496983528137,0.5022873878479004
18,0.9461462497711182,0.0002500000118743628,0.1650727242231369,0.8290258646011353,0.5086775422096252
19,0.9416996240615845,0.0002500000118743628,0.1719839721918106,0.8369781374931335,0.5045335292816162
