epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.42984190583229065,0.0010000000474974513,1.4790759086608887,0.23459245264530182,1.8850988149642944
1,0.5237154364585876,0.0010000000474974513,1.2794102430343628,0.23459245264530182,2.4315929412841797
2,0.5800395011901855,0.0010000000474974513,1.1580339670181274,0.23061630129814148,2.844236135482788
3,0.6057312488555908,0.0010000000474974513,1.108054757118225,0.22664016485214233,3.2162675857543945
4,0.6225296258926392,0.0010000000474974513,1.069238305091858,0.21868787705898285,3.359541893005371
5,0.6348814368247986,0.0010000000474974513,1.0276975631713867,0.24652087688446045,2.0474822521209717
6,0.6482213735580444,0.0005000000237487257,0.9870907664299011,0.2763419449329376,2.303129196166992
7,0.6709486246109009,0.0005000000237487257,0.9490063190460205,0.3976143002510071,1.629624843597412
8,0.6704545617103577,0.0005000000237487257,0.9258067011833191,0.5328031778335571,1.3171448707580566
9,0.676383376121521,0.0005000000237487257,0.9256523847579956,0.34990060329437256,2.328152656555176
10,0.687252938747406,0.0005000000237487257,0.885453999042511,0.4990059733390808,1.3569272756576538
11,0.7035573124885559,0.0005000000237487257,0.8748098015785217,0.48310139775276184,1.7326197624206543
12,0.6996047496795654,0.0005000000237487257,0.8668766617774963,0.44731611013412476,1.798081636428833
13,0.6897233128547668,0.0005000000237487257,0.8886412382125854,0.3817097544670105,2.841975450515747
14,0.7089921236038208,0.0002500000118743628,0.826346755027771,0.45328032970428467,1.5907337665557861
15,0.7287549376487732,0.0002500000118743628,0.8158364295959473,0.42743539810180664,1.8616811037063599
16,0.7292490005493164,0.0002500000118743628,0.7894417643547058,0.7316103577613831,0.8364335298538208
17,0.7223320007324219,0.0002500000118743628,0.8006048202514648,0.6481113433837891,1.213595986366272
18,0.7307312488555908,0.0002500000118743628,0.7730225920677185,0.6918489336967468,0.9629680514335632
19,0.7445651888847351,0.0002500000118743628,0.7666630744934082,0.6660040020942688,0.9550923109054565
20,0.742094874382019,0.0002500000118743628,0.7567238807678223,0.7216699719429016,0.8538073897361755
21,0.742094874382019,0.0002500000118743628,0.7472329139709473,0.7157057523727417,0.8483977913856506
22,0.7475296258926392,0.0001250000059371814,0.7238166332244873,0.7415506839752197,0.7936191558837891
23,0.752964437007904,0.0001250000059371814,0.7014675140380859,0.7316103577613831,0.7870847582817078
24,0.7435770630836487,0.0001250000059371814,0.7200716733932495,0.6858847141265869,1.017580270767212
25,0.7569169998168945,0.0001250000059371814,0.7163240313529968,0.7455268502235413,0.7814128398895264
26,0.752964437007904,0.0001250000059371814,0.7233039736747742,0.7196819186210632,0.8323867917060852
27,0.7623517513275146,0.0001250000059371814,0.6989722847938538,0.7316103577613831,0.8341960310935974
28,0.7751976251602173,0.0001250000059371814,0.6877485513687134,0.6819085478782654,1.0185132026672363
29,0.7628458738327026,0.0001250000059371814,0.7009446024894714,0.6998012065887451,0.9198494553565979
30,0.7672924995422363,0.0001250000059371814,0.693131685256958,0.7137176990509033,0.8706936836242676
31,0.7727272510528564,6.25000029685907e-05,0.6738112568855286,0.72365802526474,0.8089559674263
32,0.7663043737411499,6.25000029685907e-05,0.6832333207130432,0.7276341915130615,0.8178302645683289
33,0.7692687511444092,6.25000029685907e-05,0.6765611171722412,0.7037773132324219,0.8926668763160706
34,0.7727272510528564,6.25000029685907e-05,0.6655307412147522,0.6998012065887451,0.8973270654678345
35,0.7707509994506836,6.25000029685907e-05,0.6664747595787048,0.6938369870185852,0.9696261882781982
